Match Number,Name,Role,Captain,Wicketkeeper,Out String,Out Name,Batting Runs,Balls,4s,6s,Strike Rate,Overs,Maidens,Bowling Runs,Wickets,LBW/Bowled,No Balls,Wides,Economy,Catches,Run Outs,Stumpings
21,Ayush Badoni,Allrounder,0,0,c Umesh b Rashid Khan,Umesh Yadav,20,11,3,0,181.82,0.0,0,0,0,0,0,0,0.0,1,0.0,0
21,Umesh Yadav,Bowler,0,0,c de Kock b Naveen-ul-Haq,Quinton de Kock,2,4,0,0,50.00,3,0,22,2,0,0,0,7.30,1,0.0,0
21,Krunal Pandya,Allrounder,0,0,not out,,2,2,0,0,100.00,4,0,11,3,0,0,0,2.80,0,0.0,0
21,Ravi Bishnoi,Bowler,0,0,did not bat,,0,0,0,0,0.0,2,0,8,1,0,0,1,4.00,2,0.0,0
21,Yash Thakur,Bowler,0,0,did not bat,,0,0,0,0,0.0,3.5,1,30,5,1,0,2,7.80,1,0.0,0
21,Naveen-ul-Haq,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,37,1,0,1,1,9.20,0,0.0,0
21,Mayank Yadav,Bowler,0,0,did not bat,,0,0,0,0,0.0,1,0,13,0,0,0,0,13.00,0,0.0,0
21,Manimaran Siddharth,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,29,0,0,3,2,7.20,0,0.0,0
21,Spencer Johnson,Bowler,0,0,not out,,0,1,0,0,0.00,4,0,32,0,0,0,1,8.00,0,0.0,0
21,Rashid Khan,Allrounder,0,0,c (sub)Deepak Hooda b Yash Thakur,,0,3,0,0,0.00,4,0,28,1,0,0,0,7.00,0,0.0,0
21,Mohit Sharma,Bowler,0,0,did not bat,,0,0,0,0,0.0,3,0,34,0,0,0,0,11.30,0,0.0,0
21,Darshan Nalkande,Bowler,0,0,c Yash Thakur b Krunal Pandya,Yash Thakur,12,11,0,1,109.09,2,0,21,2,0,0,0,10.50,0,0.0,0
21,Sai Sudharsan,Batter,0,0,c Ravi Bishnoi b Krunal Pandya,Ravi Bishnoi,31,23,4,0,134.78,0.0,0,0,0,0,0,0,0.0,0,0.0,0
21,Shubman Gill,Batter,1,0,b Yash Thakur,Yash Thakur,19,21,2,0,90.48,0.0,0,0,0,0,0,0,0.0,0,0.0,0
21,Kane Williamson,Batter,0,0,c and b Ravi Bishnoi,Ravi Bishnoi,1,5,0,0,20.00,0.0,0,0,0,0,0,0,0.0,0,0.0,0
22,Philip Salt,WK-Batter,0,1,c Ravindra Jadeja b Tushar Deshpande,Ravindra Jadeja,0,1,0,0,0.00,0.0,0,0,0,0,0,0,0.0,0,0.0,0
22,Ravindra Jadeja,Allrounder,0,0,did not bat,,0,0,0,0,0.0,4,0,18,3,1,0,1,4.50,2,0.0,0
22,Sunil Narine,Allrounder,0,0,c M Theekshana b Ravindra Jadeja,Maheesh Theekshana,27,20,3,2,135.00,4,0,30,1,1,0,0,7.50,0,0.0,0
22,Maheesh Theekshana,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,28,1,1,0,0,7.00,1,0.0,0
22,Angkrish Raghuvanshi,Allrounder,0,0,lbw b Ravindra Jadeja,Ravindra Jadeja,24,18,3,1,133.33,0.0,0,0,0,0,0,0,0.0,0,0.0,0
