Match Number,Name,Role,Captain,Wicketkeeper,Out String,Out Name,Batting Runs,Balls,4s,6s,Strike Rate,Overs,Maidens,Bowling Runs,Wickets,LBW/Bowled,No Balls,Wides,Economy,Catches,Run Outs,Stumpings
5,Harpreet Brar,Bowler,0,0,not out,,2,2,0,0,100.00,4,0,13,2,2,0,0,3.20,1,0.0,0
5,Harshal Patel,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,45,1,0,0,3,11.20,0,0.0,0
5,Kagiso Rabada,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,23,2,0,0,1,5.80,0,0.0,0
5,Rahul Chahar,Bowler,0,0,did not bat,,0,0,0,0,0.0,1,0,16,0,0,0,0,16.00,0,0.0,0
5,Arshdeep Singh,Bowler,0,0,did not bat,,0,0,0,0,0.0,3.2,0,40,0,0,0,3,12.00,0,0.0,0
5,Mohammed Siraj,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,26,2,0,0,0,6.50,0,0.0,0
5,Yash Dayal,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,23,1,0,0,2,5.80,0,0.0,0
5,Alzarri Joseph,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,43,1,0,0,3,10.80,0,0.0,0
5,Cameron Green,Allrounder,0,0,c Jitesh Sharma b Rabada,Jitesh Sharma,3,5,0,0,60.00,2,0,19,0,0,0,1,9.50,0,0.0,0
5,Mayank Dagar,Bowler,0,0,did not bat,,0,0,0,0,0.0,3,0,34,0,0,0,0,11.30,0,0.0,0
5,Glenn Maxwell,Allrounder,0,0,b Harpreet Brar,Harpreet Brar,3,5,0,0,60.00,3,0,29,2,0,0,0,9.70,0,0.0,0
5,Faf du Plessis,Batter,1,0,c Sam Curran b Rabada,Sam Curran,3,7,0,0,42.86,0.0,0,0,0,0,0,0,0.0,0,0.0,0
5,Rajat Patidar,Batter,0,0,b Harpreet Brar,Harpreet Brar,18,18,1,1,100.00,0.0,0,0,0,0,0,0,0.0,0,0.0,0
5,Dinesh Karthik,WK-Batter,0,0,not out,,28,10,3,2,280.00,0.0,0,0,0,0,0,0,0.0,0,0.0,0
5,Mahipal Lomror,Allrounder,0,0,not out,,17,8,2,1,212.50,0.0,0,0,0,0,0,0,0.0,0,0.0,0
